OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,PHONE
1,Hilo High School,556 Waianuenue Avenue,Hilo,HI,96720,(808) 974-4021
2,Holualoa Elementary School,76-5957 Mamalahoa Highway,Holualoa,HI,96725,(808) 322-4800
3,Honaunau Elementary School,83-5360 Mamalahoa Highway,Captain Cook,HI,96704,(808) 328-2727
4,Hookena Elementary School,86-4355 Mamalahoa Highway,Captain Cook,HI,96704,(808) 328-2710
5,Kau High and Pahala Elementary School,96-3150 Pikake Street,Pahala,HI,96777,(808) 313-4100
6,Kaumana Elementary School,1710 Kaumana Drive,Hilo,HI,96720,(808) 974-4190
7,Kohala Elementary School,54-3609 Akoni Pule Highway,Kapaau,HI,96755,(808) 889-7100
8,Waiakeawaena Elementary School,2420 Kilauea Ave,Hilo,HI,96720,(808) 981-7200
9,Hilo Intermediate School,587 Waianuenue Avenue,Hilo,HI,96720,(808) 974-4955
10,Keaau Middle School,16-565 Keaau Pahoa Road,Keaau,HI,96749,(808) 982-4200
11,Pahoa High and Intermediate School,15-3038 Pahoa Village Road,Pahoa,HI,96778,(808) 965-2150
12,Waiakea Elementary School,180 West Puainako Street,Hilo,HI,96720,(808) 981-7215
13,Kealakehe Intermediate School,74-5062 Onipaa Street,Kailua-Kona,HI,96740,(808) 327-4314
14,Kealakehe Elementary School,74-5118 Kealakaa Street,Kailua-Kona,HI,96740,(808) 327-4308
15,Waimea Elementary and Intermediate Schools,67-1225 Mamalahoa Highway,Kamuela,HI,96743,(808) 887-7636
16,Konawaena High School,81-1043 Konawaena School Road,Kealakekua,HI,96750,(808) 323-4500
17,Kohala High School,54-3611 Akoni Pule Highway,Kapaau,HI,96755,(808) 889-7117
18,Honokaa High and Intermediate School,45-527 Pakalana Street,Honokaa,HI,96727,(808) 775-8800
19,Ernest Bowen de Silva Elementary School,278 Ainako Avenue,Hilo,HI,96720,(808) 974-4855
20,Kahakai Elementary School,76-147 Royal Poinciana Drive,Kailua-Kona,HI,96740,(808) 327-4313
21,Mountain View Elementary School,18-1235 Volcano Highway,Mountain View,HI,96771,(808) 968-2300
22,Waiakea High School,155 West Kawili Street,Hilo,HI,96720,(808) 974-4888
23,Keonepoko Elementary School,15-890 Kahakai Boulevard,Pahoa,HI,96778,(808) 965-2131
24,Kealakehe High School,74-5000 Puohulihuli Street,Kailua-Kona,HI,96740,(808) 327-4300
25,Keaau High School,16-725 Keaau-Pahoa Road,Keaau,HI,96749,(808) 982-4220
26,Pahoa Elementary School,15-3030 Kuuhome Street,Pahoa,HI,96778,(808) 965-2141
27,Waimea District Court,67-5175 Kamamalu Street,Kamuela,HI,96743,(808) 885-4615
